City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,zhongshu,24.5167,103.7667,294.18,58,51,1.23,CN,1684504233
340,svetlyy,54.675,20.1347,286.18,72,100,3.12,RU,1684504233
341,labuan,5.2767,115.2417,301.35,83,20,0.0,MY,1684504233
342,walvis bay,-22.9575,14.5053,292.68,59,0,4.12,NA,1684503949
343,minab,27.1467,57.0801,307.68,28,49,4.91,IR,1684504233
344,colle di val d'elsa,43.4151,11.1314,290.38,91,100,1.49,IT,1684504233
345,basoda,23.85,77.9333,311.05,16,49,5.15,IN,1684504234
346,whitefish,48.4111,-114.3376,285.87,87,0,0.0,US,1684504234
347,san jose de jachal,-30.2406,-68.7469,287.32,67,6,1.94,AR,1684504234
348,paraty,-23.2178,-44.7131,296.69,52,0,1.48,BR,1684504002
349,kruisfontein,-34.0033,24.7314,290.86,58,88,1.81,ZA,1684504234
350,acarau,-2.8856,-40.12,301.68,76,100,5.46,BR,1684504234
351,gulsehir,38.7459,34.6252,295.33,35,40,3.09,TR,1684504234
352,san patricio,28.017,-97.5169,301.97,83,31,3.41,US,1684504235
353,ecka,45.3186,20.4428,293.86,55,4,2.11,RS,1684504235
354,mahibadhoo,3.7833,72.9667,301.8,74,99,1.36,MV,1684504235
355,barah,13.7,30.3667,314.22,6,3,6.07,SD,1684504235
356,coruripe,-10.1256,-36.1756,300.24,75,99,3.72,BR,1684504085
357,jamaame,0.0697,42.745,302.33,64,53,5.43,SO,1684504235
358,hasaki,35.7333,140.8333,291.6,89,100,10.06,JP,1684504235
359,inari,68.906,27.0288,288.26,60,94,5.07,FI,1684504235
360,taoudenni,22.6783,-3.9836,307.9,7,52,8.08,ML,1684504235
361,las khorey,11.1595,48.1967,305.53,67,25,3.08,SO,1684504236
362,fuglafjordur,62.244,-6.814,282.41,85,75,8.02,FO,1684504236
363,steamboat springs,40.485,-106.8317,281.32,88,100,3.09,US,1684504236
364,padre bernardo,-15.35,-48.5,302.14,22,0,1.3,BR,1684504236
365,asilah,35.465,-6.0348,295.13,58,1,4.88,MA,1684504236
366,st. john's,47.5649,-52.7093,286.08,47,40,12.35,CA,1684504189
367,mably,46.0862,4.0661,292.32,64,100,4.98,FR,1684504236
368,revda,56.801,59.9303,288.83,38,100,4.01,RU,1684504236
369,santyoku,37.4406,129.1708,287.23,83,0,2.47,KR,1684504237
370,ujae,8.9322,165.7642,300.73,82,100,5.76,MH,1684504237
371,tal'menka,53.8183,83.5677,288.92,49,3,3.55,RU,1684504237
372,xining,36.6167,101.7667,290.05,37,1,4.49,CN,1684504237
373,totness,5.8833,-56.3167,298.62,91,100,3.11,SR,1684504237
374,sao jose da coroa grande,-8.8978,-35.1478,301.66,65,21,3.27,BR,1684504237
375,macenta,8.5435,-9.471,305.54,43,91,1.69,GN,1684504237
376,alice springs,-23.7,133.8833,277.9,70,0,3.74,AU,1684504040
377,el bolson,-41.9667,-71.5167,277.78,85,13,2.44,AR,1684504238
378,tshabong,-26.05,22.45,292.11,18,0,2.31,BW,1684504238
379,amga,60.8953,131.9608,275.73,97,100,3.31,RU,1684504238
380,katsuura,35.1333,140.3,291.16,93,100,11.6,JP,1684504238
381,uyuni,-20.4597,-66.825,280.83,22,82,3.04,BO,1684504238
382,codrington,-38.2667,141.9667,283.66,76,100,4.27,AU,1684504238
383,cill airne,52.05,-9.5167,288.18,77,100,2.57,IE,1684504238
384,burutu,5.3509,5.5076,304.54,65,100,4.15,NG,1684504239
385,crane,31.3974,-102.3501,297.22,49,2,3.68,US,1684504239
386,coahuayana de hidalgo,18.7,-103.6583,301.15,47,91,0.7,MX,1684504239
387,beinamar,8.6698,15.3813,311.08,24,100,1.29,TD,1684504239
388,lionel town,17.8101,-77.2406,304.09,59,3,3.65,JM,1684504239
389,watampone,-4.5386,120.3279,298.08,89,92,2.02,ID,1684504239
390,bloomfield,40.8068,-74.1854,291.73,71,20,5.66,US,1684504178
391,nantucket,41.2835,-70.0995,288.2,76,55,5.66,US,1684504239
392,barcelos,41.5388,-8.6151,296.23,35,6,3.05,PT,1684504240
393,jatiroto,-7.8833,111.1167,295.99,90,100,1.11,ID,1684504240
394,parambu,-6.2111,-40.6944,303.71,47,100,3.88,BR,1684504240
395,chiredzi,-21.05,31.6667,303.31,26,71,1.6,ZW,1684504240
396,sechura,-5.5569,-80.8222,297.97,70,22,5.32,PE,1684504240
397,nacala,-14.5428,40.6728,299.49,69,1,3.49,MZ,1684504240
398,ornskoldsvik,63.2909,18.7153,289.68,33,77,6.17,SE,1684504240
399,pandan,14.0453,124.1694,300.29,83,91,2.94,PH,1684504241
400,vilyuchinsk,52.9306,158.4028,276.3,96,100,2.51,RU,1684504241
401,susanville,40.4163,-120.653,284.06,76,0,0.0,US,1684504241
402,cam ranh,11.9214,109.1591,303.13,62,0,2.57,VN,1684504241
403,fenoarivo be,-18.4333,46.5667,294.53,62,3,1.68,MG,1684504241
404,aroma,15.8167,36.1333,314.55,10,0,4.93,SD,1684504241
405,constitucion,-35.3333,-72.4167,286.93,66,0,2.67,CL,1684504241
406,arno,60.1167,18.6333,283.03,45,0,3.27,SE,1684504241
407,troitskoye,52.9821,84.6757,284.34,50,0,3.54,RU,1684504241
408,puerto baquerizo moreno,-0.9,-89.6,298.79,86,77,5.82,EC,1684504242
409,la foa,-21.7108,165.8276,293.43,65,17,2.61,NC,1684504242
410,keren,15.7778,38.4581,303.49,26,18,2.69,ER,1684504242
411,baza,37.4907,-2.7726,292.91,36,100,7.1,ES,1684504242
412,dwarka,22.2394,68.9678,301.83,81,0,6.24,IN,1684504242
413,lokomotivnyy,53.0118,60.5684,283.38,77,99,5.81,RU,1684504242
